OR_NAME	SPECIES	GENE_NAME	SP_CODE	NUMBER	SUFFIX	OR_GROUP	LAMPYRID	KNOWN_LIGAND
AplaOR1	Agrilus planipennis	AplaOR1	Apla	1		2A	no	no
AplaOR10	Agrilus planipennis	AplaOR10	Apla	10		2B	no	no
AplaOR11	Agrilus planipennis	AplaOR11	Apla	11		2B	no	no
AplaOR12	Agrilus planipennis	AplaOR12	Apla	12		2B	no	no
AplaOR13	Agrilus planipennis	AplaOR13	Apla	13		2B	no	no
AplaOR16	Agrilus planipennis	AplaOR16	Apla	16		2B	no	no
AplaOR17	Agrilus planipennis	AplaOR17	Apla	17		2B	no	no
AplaOR18FIX	Agrilus planipennis	AplaOR18FIX	Apla	18	FIX	2B	no	no
AplaOR19	Agrilus planipennis	AplaOR19	Apla	19		2B	no	no
AplaOR2	Agrilus planipennis	AplaOR2	Apla	2		2B	no	no
AplaOR20	Agrilus planipennis	AplaOR20	Apla	20		2B	no	no
AplaOR21FIX	Agrilus planipennis	AplaOR21FIX	Apla	21	FIX	2B	no	no
AplaOR26	Agrilus planipennis	AplaOR26	Apla	26		2B	no	no
AplaOR3	Agrilus planipennis	AplaOR3	Apla	3		2B	no	no
AplaOR32	Agrilus planipennis	AplaOR32	Apla	32		2B	no	no
AplaOR33	Agrilus planipennis	AplaOR33	Apla	33		2B	no	no
AplaOR36	Agrilus planipennis	AplaOR36	Apla	36		3	no	no
AplaOR37FIX	Agrilus planipennis	AplaOR37FIX	Apla	37	FIX	3	no	no
AplaOR38	Agrilus planipennis	AplaOR38	Apla	38		3	no	no
AplaOR4	Agrilus planipennis	AplaOR4	Apla	4		2B	no	no
AplaOR40	Agrilus planipennis	AplaOR40	Apla	40		3	no	no
AplaOR41JOI	Agrilus planipennis	AplaOR41JOI	Apla	41	JOI	5B	no	no
AplaOR42	Agrilus planipennis	AplaOR42	Apla	42		5B	no	no
AplaOR43	Agrilus planipennis	AplaOR43	Apla	43		6	no	no
AplaOR45	Agrilus planipennis	AplaOR45	Apla	45		6	no	no
AplaOR5	Agrilus planipennis	AplaOR5	Apla	5		2B	no	no
AplaOR6	Agrilus planipennis	AplaOR6	Apla	6		2B	no	no
AplaOR7	Agrilus planipennis	AplaOR7	Apla	7		2B	no	no
AplaOR8	Agrilus planipennis	AplaOR8	Apla	8		2B	no	no
AplaOR9	Agrilus planipennis	AplaOR9	Apla	9		2B	no	no
AplaOrcoFIX	Agrilus planipennis	Apla\OrcoFIX	Apla		FIX	Orco	no	no
KY817052__HparOR27_translation	Holotrichia parallela	HparOR27	Hpar	27			no	yes
ItypOR23	Ips typographus	ItypOR23	Ityp	23			no	yes
ItypOR25	Ips typographus	ItypOR25	Ityp	25			no	yes
ItypOR27	Ips typographus	ItypOR27	Ityp	27			no	yes
ItypOR28	Ips typographus	ItypOR28	Ityp	28			no	yes
ItypOR29	Ips typographus	ItypOR29	Ityp	29			no	yes
ItypOR46	Ips typographus	ItypOR46	Ityp	46			no	yes
ItypOR49	Ips typographus	ItypOR49	Ityp	49			no	yes
McOr20	Megacyllene caryae	McarOR20	Mcar	20			no	yes
McOr3	Megacyllene caryae	McarOR3	Mcar	3			no	yes
McOr5	Megacyllene caryae	McarOR5	Mcar	5			no	yes
NvesOR1	Nicrophorus vespilloides	NvesOR1	Nves	1		2A	no	no
NvesOR10	Nicrophorus vespilloides	NvesOR10	Nves	10		2B	no	no
NvesOR11	Nicrophorus vespilloides	NvesOR11	Nves	11		2B	no	no
NvesOR12	Nicrophorus vespilloides	NvesOR12	Nves	12		2B	no	no
NvesOR13	Nicrophorus vespilloides	NvesOR13	Nves	13		2B	no	no
NvesOR14	Nicrophorus vespilloides	NvesOR14	Nves	14		2B	no	no
NvesOR15	Nicrophorus vespilloides	NvesOR15	Nves	15		2B	no	no
