SAMPLE	FORWARD_READ	REVERSE_READ	PREP_BATCH	MACHINE	RUN	LANE	TISSUE	SEX	SAME_LANE	RUN_LANE_COMBO	DATE_COLLECTED	DATE_PRESERVED	TIME_PRESERVED	DATE_BY_TIME_PRESERVED	INDIVIDUAL	SPME_USE	CAPTIVE_DURATION_hrs	FILE
SEL534ant	HT534ant_FRAL192313653-1a_HWNGNDSXX_L2_1.fq.gz	HT534ant_FRAL192313653-1a_HWNGNDSXX_L2_2.fq.gz	10.30.19	A01050	Run_44	2	antenna	M	no	44_2	5.28.19	6.6.19	2:20 PM	Group A	SEL534	no	209	HT534ant_FRAL192313653-1a_HWNGNDSXX_L2_2025_02_20_quant
SEL534BL	HT534BL_FRAL192313654-1a_HWNGNDSXX_L4_1.fq.gz	HT534BL_FRAL192313654-1a_HWNGNDSXX_L4_2.fq.gz	10.30.19	A01050	Run_44	4	leg	M	no	44_4	5.28.19	6.6.19	2:20 PM	Group A	SEL534	no	209	HT534BL_FRAL192313654-1a_HWNGNDSXX_L4_2025_02_20_quant
SEL535ant	HT535ant_FRAL192313655-1a_HWNGNDSXX_L3_1.fq.gz	HT535ant_FRAL192313655-1a_HWNGNDSXX_L3_2.fq.gz	10.30.19	A01050	Run_44	3	antenna	M	no	44_3	5.28.19	6.6.19	2:20 PM	Group A	SEL535	no	209	HT535ant_FRAL192313655-1a_HWNGNDSXX_L3_2025_02_20_quant
SEL535BL	HT535BL_FRAL192313656-1a_HWNGNDSXX_L2_1.fq.gz	HT535BL_FRAL192313656-1a_HWNGNDSXX_L2_2.fq.gz	10.30.19	A01050	Run_44	2	leg	M	no	44_2	5.28.19	6.6.19	2:20 PM	Group A	SEL535	no	209	HT535BL_FRAL192313656-1a_HWNGNDSXX_L2_2025_02_20_quant
SEL536ant	HT536ant_FRAL192313657-1a_HWNGNDSXX_L3_1.fq.gz	HT536ant_FRAL192313657-1a_HWNGNDSXX_L3_2.fq.gz	10.30.19	A01050	Run_44	3	antenna	M	no	44_3	5.28.19	6.4.19	5:10 PM	Group B	SEL536	no	164	HT536ant_FRAL192313657-1a_HWNGNDSXX_L3_2025_02_20_quant
SEL536BL	HT536BL_FRAL192313658-1a_HWNHCDSXX_L2_1.fq.gz	HT536BL_FRAL192313658-1a_HWNHCDSXX_L2_2.fq.gz	10.30.19	A00920	Run_201	2	leg	M	no	201_2	5.28.19	6.4.19	5:10 PM	Group B	SEL536	no	164	HT536BL_FRAL192313658-1a_HWNHCDSXX_L2_2025_02_20_quant
SEL543ant	HT543ant_FRAL192313659-1a_HWNGNDSXX_L4_1.fq.gz	HT543ant_FRAL192313659-1a_HWNGNDSXX_L4_2.fq.gz	10.30.19	A01050	Run_44	4	antenna	M	no	44_4	5.29.19	6.6.19	2:20 PM	Group A	SEL543	no	197	HT543ant_FRAL192313659-1a_HWNGNDSXX_L4_2025_02_20_quant
SEL543BL	HT543BL_FRAL192313660-1a_HWNHCDSXX_L2_1.fq.gz	HT543BL_FRAL192313660-1a_HWNHCDSXX_L2_2.fq.gz	10.30.19	A00920	Run_201	2	leg	M	no	201_2	5.29.19	6.6.19	2:20 PM	Group A	SEL543	no	197	HT543BL_FRAL192313660-1a_HWNHCDSXX_L2_2025_02_20_quant
SEL562ant	HT562ant_FRAL192313661-1a_HWNGNDSXX_L3_1.fq.gz	HT562ant_FRAL192313661-1a_HWNGNDSXX_L3_2.fq.gz	10.30.19	A01050	Run_44	3	antenna	F	no	44_3	5.28.19	6.7.19	4:50 PM	Group C	SEL562	no	235	HT562ant_FRAL192313661-1a_HWNGNDSXX_L3_2025_02_20_quant
SEL562BL	HT562BL_FRAL192313662-1a_HWNGNDSXX_L2_1.fq.gz	HT562BL_FRAL192313662-1a_HWNGNDSXX_L2_2.fq.gz	10.30.19	A01050	Run_44	2	leg	F	no	44_2	5.28.19	6.7.19	4:50 PM	Group C	SEL562	no	235	HT562BL_FRAL192313662-1a_HWNGNDSXX_L2_2025_02_20_quant
SEL627ant	HT627ant_FRAL192313663-1a_HWNHCDSXX_L2_1.fq.gz	HT627ant_FRAL192313663-1a_HWNHCDSXX_L2_2.fq.gz	10.30.19	A00920	Run_201	2	antenna	F	yes	201_2	5.29.19	6.7.19	4:55 PM	Group C	SEL627	SPME_USE	211	HT627ant_FRAL192313663-1a_HWNHCDSXX_L2_2025_02_20_quant
SEL627BL	HT627BL_FRAL192313664-1a_HWNHCDSXX_L2_1.fq.gz	HT627BL_FRAL192313664-1a_HWNHCDSXX_L2_2.fq.gz	10.30.19	A00920	Run_201	2	leg	F	yes	201_2	5.29.19	6.7.19	4:55 PM	Group C	SEL627	SPME_USE	211	HT627BL_FRAL192313664-1a_HWNHCDSXX_L2_2025_02_20_quant
SEL672ant	HT672ant_FRAL192313665-1a_HWNHCDSXX_L2_1.fq.gz	HT672ant_FRAL192313665-1a_HWNHCDSXX_L2_2.fq.gz	10.30.19	A00920	Run_201	2	antenna	F	yes	201_2	5.30.19	6.7.19	4:20 PM	Group C	SEL672	no	187	HT672ant_FRAL192313665-1a_HWNHCDSXX_L2_2025_02_20_quant
SEL672BL	HT672BL_FRAL192313666-1a_HWNHCDSXX_L2_1.fq.gz	HT672BL_FRAL192313666-1a_HWNHCDSXX_L2_2.fq.gz	10.30.19	A00920	Run_201	2	leg	F	yes	201_2	5.30.19	6.7.19	4:20 PM	Group C	SEL672	no	187	HT672BL_FRAL192313666-1a_HWNHCDSXX_L2_2025_02_20_quant
