"LG"	"frag"	"source"	"feature"	"start"	"end"	"dot1"	"strand"	"dot2"	"OR"	"Feature_title"	"LG_common_name"	"LG_start"	"LG_end"	"suffix"	"length"	"structure"	"converted_start"	"converted_end"	"converted_midpoint"	"relative.start"	"relative.end"	"OR_NAME"	"SPECIES"	"SP_CODE"	"NUMBER"	"SUFFIX"	"OR_GROUP"	"LAMPYRID"	"KNOWN_LIGAND"
"1"	"NW_022170510"	"132"	"Geneious"	"exon"	129639	130369	"."	"+"	"."	"PpyrOR1"	"Exon A"	"LG3b"	0	28664792	""	730	"A,B,C,D,E"	26529639	26530369	26530004	0	730	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"2"	"NW_022170510"	"132"	"Geneious"	"exon"	130414	130510	"."	"+"	"."	"PpyrOR1"	"Exon B"	"LG3b"	0	28664792	""	96	"A,B,C,D,E"	26530414	26530510	26530462	775	871	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"3"	"NW_022170510"	"132"	"Geneious"	"exon"	130562	130666	"."	"+"	"."	"PpyrOR1"	"Exon C"	"LG3b"	0	28664792	""	104	"A,B,C,D,E"	26530562	26530666	26530614	923	1027	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"4"	"NW_022170510"	"132"	"Geneious"	"exon"	135981	136136	"."	"+"	"."	"PpyrOR1"	"Exon D"	"LG3b"	0	28664792	""	155	"A,B,C,D,E"	26535981	26536136	26536058.5	6342	6497	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"5"	"NW_022170510"	"132"	"Geneious"	"exon"	136188	136241	"."	"+"	"."	"PpyrOR1"	"Exon E"	"LG3b"	0	28664792	""	53	"A,B,C,D,E"	26536188	26536241	26536214.5	6549	6602	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"6"	"NW_022170510"	"132"	"R"	"total"	129639	136241	"."	"+"	"."	"PpyrOR1"	"Total length"	"LG3b"	0	28664792	""	6602	"A,B,C,D,E"	26529639	26536241	26532940	0	6602	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"7"	"NW_022170510"	"132"	"R"	"intron"	130370	130413	"."	"+"	"."	"PpyrOR1"	"Intron 1"	"LG3b"	0	28664792	""	43	"A,B,C,D,E"	26530370	26530413	26530391.5	731	774	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"8"	"NW_022170510"	"132"	"R"	"intron"	130511	130561	"."	"+"	"."	"PpyrOR1"	"Intron 2"	"LG3b"	0	28664792	""	50	"A,B,C,D,E"	26530511	26530561	26530536	872	922	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"9"	"NW_022170510"	"132"	"R"	"intron"	130667	135980	"."	"+"	"."	"PpyrOR1"	"Intron 3"	"LG3b"	0	28664792	""	5313	"A,B,C,D,E"	26530667	26535980	26533323.5	1028	6341	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
"10"	"NW_022170510"	"132"	"R"	"intron"	136137	136187	"."	"+"	"."	"PpyrOR1"	"Intron 4"	"LG3b"	0	28664792	""	50	"A,B,C,D,E"	26536137	26536187	26536162	6498	6548	"PpyrOR1"	"Photinus pyralis"	"Ppyr"	1	""	"OR1"	"yes"	"no"
